"Node1","Sign","Node2","edgesUpVars","edgesDownVars"
"HOXA5",1,"TP53","eU318","eD318"
"NR1H3",1,"MYC","eU319","eD319"
"SP1",1,"PGR","eU320","eD320"
"ESR1",1,"PGR","eU321","eD321"
"PGR",1,"ESR1","eU322","eD322"
"MYC",1,"MYBL1","eU323","eD323"
"MYBL1",1,"MYC","eU324","eD324"
"ETV3",-1,"FGF2","eU325","eD325"
"TFAP2A",1,"VDR","eU326","eD326"
"NR1I2",1,"NR1I3","eU327","eD327"
"NR1I3",1,"NR1I2","eU328","eD328"
"OTX2",1,"GSC","eU329","eD329"
"MYF5",1,"MYOD1","eU330","eD330"
"MYOD1",-1,"MYF5","eU331","eD331"
"NR3C1",-1,"RELA","eU332","eD332"
"RELA",-1,"NR3C1","eU333","eD333"
"SOX10",1,"MITF","eU334","eD334"
"CEBPG",1,"NFKB1","eU335","eD335"
"SP1",1,"MYBL1","eU336","eD336"
"HAND2",1,"PHOX2B","eU337","eD337"
"PHOX2B",1,"HAND2","eU338","eD338"
"NCOR2",1,"SIN3A","eU339","eD339"
"TFE3",1,"SMAD7","eU340","eD340"
"FOXA2",1,"EOMES","eU341","eD341"
"FLI1",1,"EWSR1","eU342","eD342"
"EWSR1",1,"FLI1","eU343","eD343"
"NR3C1",1,"MYC","eU344","eD344"
"JUN",1,"ATF3","eU345","eD345"
"ATF3",1,"JUN","eU346","eD346"
"ATF2",1,"ATF3","eU347","eD347"
"ESR1",1,"SP1","eU348","eD348"
"SP1",1,"ESR1","eU349","eD349"
"DDIT3",-1,"ATF2","eU350","eD350"
"ATF2",1,"DDIT3","eU351","eD351"
"ESR1",1,"SMARCA4","eU352","eD352"
"CEBPB",1,"IRF9","eU353","eD353"
"TP53",-1,"HIF1A","eU354","eD354"
"HIF1A",1,"TP53","eU355","eD355"
"TP53",1,"TFAP2A","eU356","eD356"
"TFAP2A",1,"TP53","eU357","eD357"
"ESR1",1,"ESR2","eU358","eD358"
"ESR2",-1,"ESR1","eU359","eD359"
"PGR",1,"ESR2","eU360","eD360"
"ESR2",1,"PGR","eU361","eD361"
"GATA1",-1,"SPI1","eU362","eD362"
"SPI1",-1,"GATA1","eU363","eD363"
"AIRE",1,"FOS","eU364","eD364"
"HSF1",1,"FOS","eU365","eD365"
"RXRA",-1,"HNF4A","eU366","eD366"
"NR1H4",1,"NR5A2","eU367","eD367"
"TP53",1,"E2F4","eU368","eD368"
"NKX2_1",1,"TTF1","eU369","eD369"
"TTF1",1,"NKX2_1","eU370","eD370"
"NFIC",1,"TTF1","eU371","eD371"
"WT1",1,"VDR","eU372","eD372"
"SP3",1,"CEBPA","eU373","eD373"
"ASCL1",1,"HES1","eU374","eD374"
"HES1",-1,"ASCL1","eU375","eD375"
"TP53",1,"FHL2","eU376","eD376"
"HNF4A",1,"JUN","eU377","eD377"
"USF1",1,"USF2","eU378","eD378"
"USF2",1,"USF1","eU379","eD379"
"USF1",1,"HOXB4","eU380","eD380"
"USF2",1,"HOXB4","eU381","eD381"
"PRDM1",-1,"CIITA","eU382","eD382"
"CEBPB",1,"STAT3","eU383","eD383"
"STAT3",1,"CEBPB","eU384","eD384"
"AHR",1,"MYC","eU385","eD385"
"RELA",1,"MYC","eU386","eD386"
"RBPJ",1,"NFKB2","eU387","eD387"
"TP53",-1,"SP1","eU388","eD388"
"SP1",1,"TP53","eU389","eD389"
"USF2",1,"CREBBP","eU390","eD390"
"STAT3",1,"BCL6","eU391","eD391"
"BCL6",-1,"STAT3","eU392","eD392"
"HMGA1",1,"SPI1","eU393","eD393"
"ID4",-1,"BRCA1","eU394","eD394"
"NR5A2",1,"HNF1A","eU395","eD395"
"HNF1A",1,"NR5A2","eU396","eD396"
"GATA4",1,"NFYA","eU397","eD397"
"AR",1,"CREBBP","eU398","eD398"
"STAT5A",1,"PML","eU399","eD399"
"SP1",1,"KMT2A","eU400","eD400"
"POU4F1",1,"POU4F2","eU401","eD401"
"POU4F2",-1,"POU4F1","eU402","eD402"
"NR3C1",1,"AR","eU403","eD403"
"AR",1,"NR3C1","eU404","eD404"
"HR",1,"TP53","eU405","eD405"
"TP53",-1,"HR","eU406","eD406"
"NR5A1",1,"SRY","eU407","eD407"
"PAX6",1,"MAF","eU408","eD408"
"ARNT",1,"AHR","eU409","eD409"
"AHR",1,"ARNT","eU410","eD410"
"MAZ",1,"SP4","eU411","eD411"
"SP1",-1,"SP4","eU412","eD412"
"SP4",1,"SP1","eU413","eD413"
"SP4",1,"SP3","eU414","eD414"
"SP3",1,"SP4","eU415","eD415"
"TCF12",1,"TAL1","eU416","eD416"
"TTF1",1,"KAT2B","eU417","eD417"
"NR0B1",1,"GATA4","eU418","eD418"
"NR0B1",1,"SF1","eU419","eD419"
"SF1",1,"NR0B1","eU420","eD420"
"HR",1,"RB1","eU421","eD421"
"POU2F1",1,"CDX2","eU422","eD422"
"WT1",1,"SRY","eU423","eD423"
"SRY",1,"WT1","eU424","eD424"
"HNF1A",1,"PDX1","eU425","eD425"
"SP1",1,"PDX1","eU426","eD426"
"HEY1",-1,"MYOG","eU427","eD427"
"AR",-1,"SMAD3","eU428","eD428"
"SMAD3",1,"AR","eU429","eD429"
"RUNX1",1,"CEBPA","eU430","eD430"
"NR1H2",1,"SREBF1","eU431","eD431"
"NR1H3",1,"SREBF1","eU432","eD432"
"TP53",-1,"JDP2","eU433","eD433"
"JDP2",1,"TP53","eU434","eD434"
"WT1",-1,"AR","eU435","eD435"
"TP53",-1,"DNMT1","eU436","eD436"
"DNMT1",1,"TP53","eU437","eD437"
"TBP",1,"TAF1","eU438","eD438"
"TAF1",1,"TBP","eU439","eD439"
"EGR1",1,"ABL1","eU440","eD440"
"NR3C1",-1,"JUN","eU441","eD441"
"JUN",-1,"NR3C1","eU442","eD442"
"AR",1,"KAT2B","eU443","eD443"
"SMAD3",-1,"RUNX2","eU444","eD444"
