"Node1","Sign","Node2","edgesUpVars","edgesDownVars"
"NR5A1",1,"NR2F2","eU3253","eD3253"
"ESR2",1,"NCOR1","eU3254","eD3254"
"USF1",1,"GATA5","eU3255","eD3255"
"ETV2",1,"LMO2","eU3256","eD3256"
"EBF1",-1,"PRDM1","eU3257","eD3257"
"CREB1",1,"FOSB","eU3258","eD3258"
"FOSB",1,"CREB1","eU3259","eD3259"
"SRF",1,"FOSB","eU3260","eD3260"
"DDIT3",1,"IRF7","eU3261","eD3261"
"SMAD4",-1,"SKIL","eU3262","eD3262"
"KLF4",-1,"VDR","eU3263","eD3263"
"ESR1",-1,"NR4A1","eU3264","eD3264"
"NR4A1",1,"ESR1","eU3265","eD3265"
"ESR1",1,"NEUROG2","eU3266","eD3266"
"NFE2L2",1,"DDIT3","eU3267","eD3267"
"STAT3",1,"STAT1","eU3268","eD3268"
"STAT1",1,"STAT3","eU3269","eD3269"
"FOXA2",1,"MSX1","eU3270","eD3270"
"SMAD6",1,"KLF1","eU3271","eD3271"
"PAX3",1,"MYOG","eU3272","eD3272"
"RUNX2",-1,"RUNX1","eU3273","eD3273"
"RBPJ",-1,"ASCL1","eU3274","eD3274"
"STAT5A",1,"PROX1","eU3275","eD3275"
"HEY1",-1,"PROX1","eU3276","eD3276"
"PAX3",1,"AHR","eU3277","eD3277"
"E2F1",-1,"DNMT3A","eU3278","eD3278"
"RB1",-1,"DNMT3A","eU3279","eD3279"
"DNMT3A",1,"RB1","eU3280","eD3280"
"BHLHE41",1,"SNAI2","eU3281","eD3281"
"CTCF",1,"JUN","eU3282","eD3282"
"NRG1",1,"SMARCA4","eU3283","eD3283"
"NR4A1",1,"AR","eU3284","eD3284"
"SOX9",-1,"PAX3","eU3285","eD3285"
"GATA4",1,"SIRT1","eU3286","eD3286"
"TAL1",1,"SIRT1","eU3287","eD3287"
"TAL1",1,"MYOG","eU3288","eD3288"
"TAL1",1,"GATA4","eU3289","eD3289"
"GATA4",1,"TAL1","eU3290","eD3290"
"RELB",1,"TP53","eU3291","eD3291"
"YBX1",1,"TP63","eU3292","eD3292"
"TP63",1,"YBX1","eU3293","eD3293"
"FOS",1,"E2F1","eU3294","eD3294"
"E2F1",1,"FOXM1","eU3295","eD3295"
"SKIL",1,"TP53","eU3296","eD3296"
"PAX5",1,"SP7","eU3297","eD3297"
"PAX5",1,"RUNX2","eU3298","eD3298"
"HOXB13",1,"DNMT3B","eU3299","eD3299"
"DNMT3B",-1,"HOXB13","eU3300","eD3300"
"EZH2",-1,"HOXB13","eU3301","eD3301"
"CDX2",1,"NR1I2","eU3302","eD3302"
"MAFB",1,"PRDM1","eU3303","eD3303"
"HNF1B",1,"NEUROG3","eU3304","eD3304"
"PDX1",1,"NEUROG3","eU3305","eD3305"
"ID1",1,"RUNX2","eU3306","eD3306"
"SATB2",1,"KAT2B","eU3307","eD3307"
"TP53",1,"PROX1","eU3308","eD3308"
"SMAD7",1,"MTA1","eU3309","eD3309"
"MTA1",-1,"SMAD7","eU3310","eD3310"
"EGR2",1,"ID2","eU3311","eD3311"
"GATA3",1,"LYL1","eU3312","eD3312"
"GATA3",1,"TAL1","eU3313","eD3313"
"LYL1",1,"NKX3_1","eU3314","eD3314"
"LYL1",1,"TAL1","eU3315","eD3315"
"EGR1",1,"KLF4","eU3316","eD3316"
"PAX5",1,"ABL1","eU3317","eD3317"
"IKZF1",1,"SNAI1","eU3318","eD3318"
"TP53",1,"PPARGC1A","eU3319","eD3319"
"ERG",1,"NR3C1","eU3320","eD3320"
"HHEX",1,"ABL1","eU3321","eD3321"
"FOXM1",1,"SOX2","eU3322","eD3322"
"USF1",1,"RORC","eU3323","eD3323"
"USF2",1,"RORC","eU3324","eD3324"
"EZH2",-1,"FOXP3","eU3325","eD3325"
"TAL1",1,"MYB","eU3326","eD3326"
"ESR1",1,"FHL2","eU3327","eD3327"
"MYC",1,"BRD4","eU3328","eD3328"
"TP53",1,"LMO4","eU3329","eD3329"
"PITX2",1,"IRF5","eU3330","eD3330"
"FOXC1",1,"SNAI1","eU3331","eD3331"
"MYC",1,"NFE2L2","eU3332","eD3332"
"NFE2L2",-1,"MYC","eU3333","eD3333"
"IRF6",1,"GRHL3","eU3334","eD3334"
"SNAI1",1,"ERG","eU3335","eD3335"
"ERG",1,"SNAI1","eU3336","eD3336"
"SMAD1",1,"TFAP2C","eU3337","eD3337"
"THRB",1,"RB1","eU3338","eD3338"
"JUN",1,"KLF6","eU3339","eD3339"
"KLF6",1,"JUN","eU3340","eD3340"
"ZNF354C",1,"JUN","eU3341","eD3341"
"ESR1",1,"MED1","eU3342","eD3342"
"RELA",1,"BHLHE40","eU3343","eD3343"
"ATF4",-1,"PPARGC1A","eU3344","eD3344"
"PROX1",-1,"TWIST1","eU3345","eD3345"
"FOXO3",1,"IRF7","eU3346","eD3346"
"FLI1",1,"RUNX1","eU3347","eD3347"
"NR1H3",1,"SIRT1","eU3348","eD3348"
"EZH2",-1,"GATA3","eU3349","eD3349"
"GATA6",1,"CDX2","eU3350","eD3350"
"RBPJ",-1,"SOX9","eU3351","eD3351"
"SATB1",1,"ABL1","eU3352","eD3352"
"FOXO1",1,"KLF2","eU3353","eD3353"
"SNAI2",-1,"BRCA1","eU3354","eD3354"
"NOTCH1",1,"BCL11B","eU3355","eD3355"
"BCL11B",1,"NOTCH1","eU3356","eD3356"
"PAX3",1,"TBX2","eU3357","eD3357"
"ESR1",1,"TRPS1","eU3358","eD3358"
"SNAI2",-1,"TRPS1","eU3359","eD3359"
"E2F1",1,"LHX2","eU3360","eD3360"
"ZBTB7A",1,"RELA","eU3361","eD3361"
"SNAI1",1,"MBD2","eU3362","eD3362"
"CEBPG",1,"HSF1","eU3363","eD3363"
"AR",1,"HNF1A","eU3364","eD3364"
"SPI1",1,"FLI1","eU3365","eD3365"
"FLI1",1,"SPI1","eU3366","eD3366"
"GATA2",1,"CEBPB","eU3367","eD3367"
"SMAD6",1,"PPARG","eU3368","eD3368"
"TBX15",1,"TFAP2A","eU3369","eD3369"
"STAT3",1,"FGF2","eU3370","eD3370"
"BHLHE41",1,"MYOG","eU3371","eD3371"
"DLX4",1,"TWIST1","eU3372","eD3372"
"CREM",1,"NOTCH1","eU3373","eD3373"
"TRPS1",-1,"SOX9","eU3374","eD3374"
"NR2F2",-1,"POU5F1","eU3375","eD3375"
"OTX2",-1,"SOX2","eU3376","eD3376"
"NCOA1",1,"AR","eU3377","eD3377"
"FOXC1",1,"MSX2","eU3378","eD3378"
"TP53",1,"RUNX1","eU3379","eD3379"
"RUNX1",1,"TP53","eU3380","eD3380"
"HMGA2",1,"ZFHX3","eU3381","eD3381"
"PGR",1,"ZFHX3","eU3382","eD3382"
"RUNX2",1,"FOSL1","eU3383","eD3383"
"SNAI2",-1,"CTNNB1","eU3384","eD3384"
"CTNNB1",1,"SNAI2","eU3385","eD3385"
"CTNNB1",1,"ZEB1","eU3386","eD3386"
"ZEB1",-1,"CTNNB1","eU3387","eD3387"
"SMAD4",1,"SIRT1","eU3388","eD3388"
"BCL6",1,"IRF8","eU3389","eD3389"
"STAT3",1,"POU2F1","eU3390","eD3390"
"HSF1",1,"FOXM1","eU3391","eD3391"
"NFIC",1,"AHR","eU3392","eD3392"
"AHR",1,"NFIC","eU3393","eD3393"
"PITX2",1,"AHR","eU3394","eD3394"
"TFE3",1,"MYOG","eU3395","eD3395"
"NONO",1,"POU5F1","eU3396","eD3396"
"MAZ",1,"GATA4","eU3397","eD3397"
"MYC",1,"GATA4","eU3398","eD3398"
"NFKB1",1,"SIN3A","eU3399","eD3399"
"TP53",1,"SOX4","eU3400","eD3400"
"HBP1",-1,"DNMT1","eU3401","eD3401"
"SMAD2",1,"NKX2_1","eU3402","eD3402"
"FOXO3",1,"STAT5A","eU3403","eD3403"
"RARG",1,"MEIS1","eU3404","eD3404"
"KLF5",-1,"SOX9","eU3405","eD3405"
"KLF5",-1,"FOXA1","eU3406","eD3406"
"HES1",-1,"GATA2","eU3407","eD3407"
"NR3C1",-1,"PDX1","eU3408","eD3408"
"PPARA",1,"KLF4","eU3409","eD3409"
"PPARG",1,"KLF4","eU3410","eD3410"
"MYC",1,"EGR1","eU3411","eD3411"
"ESR1",1,"ZEB1","eU3412","eD3412"
"ZEB1",-1,"ESR1","eU3413","eD3413"
"HR",1,"BRCA1","eU3414","eD3414"
"FOXM1",1,"SNAI1","eU3415","eD3415"
"SP1",1,"LMO4","eU3416","eD3416"
"FOXA2",1,"NFYA","eU3417","eD3417"
"AHR",1,"GCM1","eU3418","eD3418"
"GFI1B",-1,"MEIS1","eU3419","eD3419"
"TCF21",1,"SF1","eU3420","eD3420"
"ZKSCAN7",1,"POU5F1","eU3421","eD3421"
"CREB1",1,"EGR3","eU3422","eD3422"
"NRG1",1,"EGR3","eU3423","eD3423"
"SRF",1,"EGR3","eU3424","eD3424"
"SP1",1,"JUND","eU3425","eD3425"
"FOXP3",-1,"BRCA1","eU3426","eD3426"
"AR",-1,"SOX2","eU3427","eD3427"
"PTF1A",1,"KAT2B","eU3428","eD3428"
"NR5A1",1,"NR5A2","eU3429","eD3429"
"TFAP2A",1,"TP63","eU3430","eD3430"
"NFE2L2",1,"BRCA1","eU3431","eD3431"
"PRRX1",1,"SOX9","eU3432","eD3432"
"POU3F2",1,"TTF1","eU3433","eD3433"
"FOXA1",1,"TTF1","eU3434","eD3434"
"DBP",1,"CREBBP","eU3435","eD3435"
"KMT2A",1,"KMT2B","eU3436","eD3436"
"ZNF91",1,"VDR","eU3437","eD3437"
"NKX3_1",-1,"TWIST1","eU3438","eD3438"
"IRF7",1,"NR1H4","eU3439","eD3439"
"ISL1",1,"ARX","eU3440","eD3440"
"NCOA3",1,"TP53","eU3441","eD3441"
"NPM1",1,"ELF4","eU3442","eD3442"
"ELF4",1,"NPM1","eU3443","eD3443"
"HIF1A",1,"PROX1","eU3444","eD3444"
"PROX1",1,"HIF1A","eU3445","eD3445"
"NFATC4",1,"NFIC","eU3446","eD3446"
"NFATC1",1,"NFIC","eU3447","eD3447"
"ZNF143",1,"ZNF91","eU3448","eD3448"
"ZNF91",1,"ZNF143","eU3449","eD3449"
"CEBPA",1,"SREBF1","eU3450","eD3450"
"NFIL3",-1,"SREBF1","eU3451","eD3451"
"VDR",1,"EZH2","eU3452","eD3452"
"EZH2",1,"VDR","eU3453","eD3453"
"STAT3",1,"EZH2","eU3454","eD3454"
"TCF3",1,"SNAI1","eU3455","eD3455"
"NR3C1",1,"NFIL3","eU3456","eD3456"
"NCOR1",-1,"NR3C1","eU3457","eD3457"
"EGR1",1,"BRCA1","eU3458","eD3458"
"BRCA1",1,"EGR1","eU3459","eD3459"
"ELF3",1,"AR","eU3460","eD3460"
"MITF",1,"HOXA1","eU3461","eD3461"
"HOXA1",1,"MITF","eU3462","eD3462"
"KAT5",1,"ABL1","eU3463","eD3463"
"SOX2",1,"NEUROD1","eU3464","eD3464"
"NEUROD1",-1,"SOX2","eU3465","eD3465"
"NEUROG1",-1,"SOX2","eU3466","eD3466"
"ZEB1",1,"TP63","eU3467","eD3467"
"HOXB7",1,"SMARCA4","eU3468","eD3468"
"TP63",1,"SMARCA4","eU3469","eD3469"
"MEIS1",-1,"POU5F1","eU3470","eD3470"
"POU5F1",1,"MEIS1","eU3471","eD3471"
"KLF4",1,"CTNNB1","eU3472","eD3472"
"CTNNB1",-1,"KLF4","eU3473","eD3473"
"CEBPB",1,"SIN3A","eU3474","eD3474"
"KLF2",1,"GATA4","eU3475","eD3475"
"KLF2",1,"TBX5","eU3476","eD3476"
"RELA",1,"DNMT1","eU3477","eD3477"
"BATF",1,"RARA","eU3478","eD3478"
"GFI1",1,"HOXA9","eU3479","eD3479"
"WT1",-1,"SNAI2","eU3480","eD3480"
"WT1",1,"TBX18","eU3481","eD3481"
"TBX18",1,"SNAI2","eU3482","eD3482"
"MITF",1,"PPARGC1A","eU3483","eD3483"
"FOSL2",1,"SOX4","eU3484","eD3484"
"JUND",1,"SOX4","eU3485","eD3485"
"CREB1",1,"FGF2","eU3486","eD3486"
"DLX5",1,"FGF2","eU3487","eD3487"
"IRF7",1,"FOXP3","eU3488","eD3488"
"ATF4",1,"CTNNB1","eU3489","eD3489"
"HIF1A",1,"SNAI1","eU3490","eD3490"
"ESRRB",1,"NR0B1","eU3491","eD3491"
"NR0B1",1,"ESRRB","eU3492","eD3492"
"PITX2",1,"XBP1","eU3493","eD3493"
"SNAI1",1,"MTA3","eU3494","eD3494"
"MTA3",-1,"SNAI1","eU3495","eD3495"
"NR3C1",1,"SP3","eU3496","eD3496"
"ID3",1,"JUN","eU3497","eD3497"
"MEF2D",1,"MYOG","eU3498","eD3498"
"CREB1",1,"YAP1","eU3499","eD3499"
"TCF3",1,"ID2","eU3500","eD3500"
"ID2",1,"TCF3","eU3501","eD3501"
"NR5A2",1,"SF1","eU3502","eD3502"
"SOX2",1,"CTNNB1","eU3503","eD3503"
"RXRA",1,"NR0B2","eU3504","eD3504"
"SOX10",-1,"PHOX2B","eU3505","eD3505"
"TWIST1",-1,"PHOX2B","eU3506","eD3506"
"SATB1",-1,"MYC","eU3507","eD3507"
"CEBPB",-1,"SIRT1","eU3508","eD3508"
"DBP",1,"ARNT","eU3509","eD3509"
"NFIL3",1,"ARNT","eU3510","eD3510"
"KLF4",-1,"FOXM1","eU3511","eD3511"
"AR",1,"MEF2C","eU3512","eD3512"
"STAT1",1,"REST","eU3513","eD3513"
"REST",-1,"STAT1","eU3514","eD3514"
"EOMES",1,"KAT5","eU3515","eD3515"
"MYC",1,"ATF4","eU3516","eD3516"
"EZH2",1,"BRCA1","eU3517","eD3517"
"NKX2_1",1,"HMGA2","eU3518","eD3518"
"TTF1",1,"HMGA2","eU3519","eD3519"
"TTF1",1,"SREBF2","eU3520","eD3520"
"ESR1",1,"NFKB1","eU3521","eD3521"
"RELA",1,"MED1","eU3522","eD3522"
"FOXO6",-1,"PPARGC1A","eU3523","eD3523"
"PTF1A",1,"TLX1","eU3524","eD3524"
"SMAD2",1,"POU5F1","eU3525","eD3525"
"OLIG2",1,"OLIG1","eU3526","eD3526"
"OLIG1",1,"OLIG2","eU3527","eD3527"
"TFAP2A",1,"HOXA7","eU3528","eD3528"
"TFAP2A",1,"HOXA9","eU3529","eD3529"
"TFAP2A",1,"MEIS1","eU3530","eD3530"
"FOXG1",1,"NCOA3","eU3531","eD3531"
"SP1",1,"NCOA3","eU3532","eD3532"
"JUN",1,"NANOG","eU3533","eD3533"
"EBF1",-1,"GATA3","eU3534","eD3534"
"DNMT1",-1,"FOXP3","eU3535","eD3535"
"AHR",1,"NR5A2","eU3536","eD3536"
"AR",1,"AHR","eU3537","eD3537"
"SNAI1",1,"PPARG","eU3538","eD3538"
"MAF",1,"TAL1","eU3539","eD3539"
"HR",-1,"MSX2","eU3540","eD3540"
"FOXO6",1,"MYC","eU3541","eD3541"
"ATF6",1,"ESRRG","eU3542","eD3542"
"ESRRG",1,"ATF6","eU3543","eD3543"
"TET1",1,"HOXA7","eU3544","eD3544"
"TET1",1,"HOXA9","eU3545","eD3545"
"PROX1",-1,"RORC","eU3546","eD3546"
"CXXC1",1,"KLF2","eU3547","eD3547"
"EZH2",1,"KLF2","eU3548","eD3548"
"CTBP2",-1,"BRCA1","eU3549","eD3549"
"NR1H3",1,"NR1I2","eU3550","eD3550"
"KLF4",1,"CIITA","eU3551","eD3551"
"NR2F2",-1,"HEY2","eU3552","eD3552"
"NKX2_5",1,"SIRT1","eU3553","eD3553"
"NCOA3",1,"SNAI1","eU3554","eD3554"
"DNMT3A",1,"STAT4","eU3555","eD3555"
"ONECUT1",1,"MAFA","eU3556","eD3556"
"CEBPB",1,"HIPK2","eU3557","eD3557"
"BCL6",-1,"LITAF","eU3558","eD3558"
"NR1H2",-1,"FOXM1","eU3559","eD3559"
"NR1H3",-1,"FOXM1","eU3560","eD3560"
"TP53",1,"SMAD2","eU3561","eD3561"
"MYC",1,"SMAD2","eU3562","eD3562"
"SMAD2",1,"MYC","eU3563","eD3563"
"HOXB13",1,"ESR1","eU3564","eD3564"
"CTNNB1",1,"TP63","eU3565","eD3565"
"TP63",1,"CTNNB1","eU3566","eD3566"
"MYOD1",1,"SIX1","eU3567","eD3567"
"SIX1",1,"MYOD1","eU3568","eD3568"
"BACH2",1,"TP53","eU3569","eD3569"
"TAL1",1,"NOTCH1","eU3570","eD3570"
"MNT",1,"MAX","eU3571","eD3571"
"HOXA5",1,"LHX2","eU3572","eD3572"
"TP53",1,"LHX2","eU3573","eD3573"
"LHX2",1,"TP53","eU3574","eD3574"
"NR1H3",1,"FOXO1","eU3575","eD3575"
"PAX8",-1,"NUPR1","eU3576","eD3576"
"KDM5C",1,"MBD2","eU3577","eD3577"
"MBD2",1,"KDM5C","eU3578","eD3578"
"SOX10",1,"SMARCA1","eU3579","eD3579"
"MEF2A",1,"KLF4","eU3580","eD3580"
"CEBPB",1,"STAT6","eU3581","eD3581"
"IRF3",1,"IRF9","eU3582","eD3582"
"STAT2",1,"IRF9","eU3583","eD3583"
"HOXA9",1,"VEZF1","eU3584","eD3584"
"VEZF1",1,"HOXA9","eU3585","eD3585"
"HNF1A",1,"POU2F1","eU3586","eD3586"
"THRB",1,"SIRT1","eU3587","eD3587"
"FOXN1",1,"RORA","eU3588","eD3588"
"NEUROD1",1,"CREBBP","eU3589","eD3589"
"HOXA5",1,"ZEB1","eU3590","eD3590"
"SIX1",1,"ZEB1","eU3591","eD3591"
"IRF4",1,"IRF1","eU3592","eD3592"
"NR4A2",1,"SIRT1","eU3593","eD3593"
"TWIST1",1,"HOXA9","eU3594","eD3594"
"KMT2A",1,"HOXA9","eU3595","eD3595"
"TP53",1,"NKX2_1","eU3596","eD3596"
"PPARG",1,"POU5F1","eU3597","eD3597"
"STAT5A",1,"EOMES","eU3598","eD3598"
"TBX21",1,"EOMES","eU3599","eD3599"
"STAT5A",1,"GFI1","eU3600","eD3600"
"TP53",1,"GFI1","eU3601","eD3601"
"GFI1",1,"TP53","eU3602","eD3602"
"JUNB",1,"TBX3","eU3603","eD3603"
"NFKB1",1,"DNMT1","eU3604","eD3604"
"NFYA",1,"BMAL1","eU3605","eD3605"
"SP1",1,"BMAL1","eU3606","eD3606"
"GLI2",1,"MYF5","eU3607","eD3607"
"PAX3",1,"MYF5","eU3608","eD3608"
"ZIC1",1,"MYF5","eU3609","eD3609"
"DNMT1",1,"KAT2B","eU3610","eD3610"
"TFDP2",1,"MYC","eU3611","eD3611"
"NR0B2",1,"PPARG","eU3612","eD3612"
"NFATC1",1,"IRF4","eU3613","eD3613"
"TP53",1,"SALL2","eU3614","eD3614"
"SALL2",1,"TP53","eU3615","eD3615"
"WT1",1,"SALL2","eU3616","eD3616"
"CREB1",1,"NFYA","eU3617","eD3617"
"MYB",1,"FOXJ1","eU3618","eD3618"
"SALL4",1,"HOXA9","eU3619","eD3619"
"KMT2A",1,"RELA","eU3620","eD3620"
"RELA",1,"KMT2A","eU3621","eD3621"
"TBX15",1,"ESR2","eU3622","eD3622"
"ELF4",1,"NFKB1","eU3623","eD3623"
"FOXO3",1,"NFKB1","eU3624","eD3624"
"NFKB1",1,"FOXO3","eU3625","eD3625"
"EBF1",-1,"FOXO1","eU3626","eD3626"
"EBF1",1,"GFI1B","eU3627","eD3627"
"IRF4",1,"KAT2B","eU3628","eD3628"
"ESRRG",1,"GATA4","eU3629","eD3629"
"BMAL1",1,"MTA1","eU3630","eD3630"
"MTA1",1,"BMAL1","eU3631","eD3631"
"CLOCK",1,"MTA1","eU3632","eD3632"
"MTA1",1,"CLOCK","eU3633","eD3633"
"BMAL1",1,"SIRT1","eU3634","eD3634"
"HOXA10",1,"FGF2","eU3635","eD3635"
"HOXA9",1,"FGF2","eU3636","eD3636"
"KMT2A",1,"FGF2","eU3637","eD3637"
"ESR1",1,"AR","eU3638","eD3638"
"AR",-1,"ESR1","eU3639","eD3639"
"AR",1,"RORA","eU3640","eD3640"
"ESR1",1,"RORA","eU3641","eD3641"
"RORA",1,"ESR1","eU3642","eD3642"
"HSF1",1,"JUN","eU3643","eD3643"
"ATF2",1,"SOX9","eU3644","eD3644"
"GLI1",1,"BHLHE41","eU3645","eD3645"
"GLI2",1,"BHLHE41","eU3646","eD3646"
"TP53",-1,"BCL3","eU3647","eD3647"
"AHR",1,"JUN","eU3648","eD3648"
"IRF4",1,"CIITA","eU3649","eD3649"
"TWIST1",1,"FOXM1","eU3650","eD3650"
"EZH2",1,"PAX3","eU3651","eD3651"
"HNF4A",1,"CTNNB1","eU3652","eD3652"
"CEBPB",1,"ATF5","eU3653","eD3653"
"ATF5",1,"CEBPB","eU3654","eD3654"
"ATF5",1,"CEBPA","eU3655","eD3655"
"CEBPD",1,"KLF9","eU3656","eD3656"
"KLF9",1,"CEBPB","eU3657","eD3657"
"VDR",1,"HNF4A","eU3658","eD3658"
"STAT1",1,"PPARA","eU3659","eD3659"
"STAT3",1,"PPARA","eU3660","eD3660"
"TBX20",1,"PPARG","eU3661","eD3661"
"SPI1",1,"RUNX3","eU3662","eD3662"
"TP53",1,"SATB1","eU3663","eD3663"
"CREBZF",-1,"SREBF1","eU3664","eD3664"
"ESR1",-1,"SREBF1","eU3665","eD3665"
"ESR1",1,"NR1H3","eU3666","eD3666"
"NR1H3",1,"ESR1","eU3667","eD3667"
"MYC",1,"SMARCA1","eU3668","eD3668"
"MYC",1,"SMARCA4","eU3669","eD3669"
"CREB1",1,"FOXP3","eU3670","eD3670"
"GATA3",1,"NOTCH1","eU3671","eD3671"
"NOTCH1",1,"GATA3","eU3672","eD3672"
"SP1",1,"NOTCH1","eU3673","eD3673"
"NANOG",-1,"AHR","eU3674","eD3674"
"POU5F1",-1,"AHR","eU3675","eD3675"
"SOX2",1,"AHR","eU3676","eD3676"
"CTCF",-1,"RUNX1","eU3677","eD3677"
"ID4",1,"CREBBP","eU3678","eD3678"
"HMGA2",1,"SOX2","eU3679","eD3679"
"EOMES",1,"NOTCH1","eU3680","eD3680"
"CEBPB",1,"SRY","eU3681","eD3681"
"NR0B2",1,"VDR","eU3682","eD3682"
"POU2F1",1,"HMGA1","eU3683","eD3683"
"POU2F2",1,"HMGA1","eU3684","eD3684"
"TCF3",-1,"YAP1","eU3685","eD3685"
"HOXB13",1,"MECP2","eU3686","eD3686"
"TAF1",1,"CIITA","eU3687","eD3687"
"TBX3",1,"JDP2","eU3688","eD3688"
"STAT5A",-1,"LEF1","eU3689","eD3689"
"MYCN",-1,"MXI1","eU3690","eD3690"
"MXI1",1,"MYCN","eU3691","eD3691"
"BHLHE40",1,"TP73","eU3692","eD3692"
"SOX17",-1,"NFAT5","eU3693","eD3693"
"SRY",1,"NFAT5","eU3694","eD3694"
"GATA2",1,"AR","eU3695","eD3695"
"SNAI1",1,"MTA1","eU3696","eD3696"
"MTA1",1,"SNAI1","eU3697","eD3697"
"CLOCK",1,"SIRT1","eU3698","eD3698"
"MYC",1,"RUNX3","eU3699","eD3699"
"RUNX3",-1,"MYC","eU3700","eD3700"
"TFAP2A",1,"HIF1A","eU3701","eD3701"
"SP1",1,"PPARA","eU3702","eD3702"
"SMARCA5",1,"SMARCA1","eU3703","eD3703"
"LMO2",1,"HHEX","eU3704","eD3704"
"NRF1",1,"AR","eU3705","eD3705"
"AR",-1,"RELA","eU3706","eD3706"
"RELA",-1,"AR","eU3707","eD3707"
"KDM5B",1,"MYC","eU3708","eD3708"
"MYCN",-1,"KDM5B","eU3709","eD3709"
"SP1",1,"KDM5B","eU3710","eD3710"
"SPI1",1,"MYF5","eU3711","eD3711"
"SPI1",1,"MYOD1","eU3712","eD3712"
"SOX2",-1,"LEF1","eU3713","eD3713"
"LEF1",-1,"SOX2","eU3714","eD3714"
"NFE2L2",1,"HIF1A","eU3715","eD3715"
"HIF1A",1,"NFE2L2","eU3716","eD3716"
"HSF1",1,"SPI1","eU3717","eD3717"
"EZH2",1,"NOTCH1","eU3718","eD3718"
"MAFB",1,"MAFA","eU3719","eD3719"
"STAT1",1,"RELA","eU3720","eD3720"
"RELA",1,"STAT1","eU3721","eD3721"
"WT1",1,"CTCF","eU3722","eD3722"
"CTCF",1,"WT1","eU3723","eD3723"
"PITX2",1,"TLX1","eU3724","eD3724"
"TLX1",-1,"MEIS1","eU3725","eD3725"
"ZNF148",1,"SPI1","eU3726","eD3726"
"NFIB",-1,"EZH2","eU3727","eD3727"
"ATF3",1,"NFKB2","eU3728","eD3728"
"CEBPG",1,"SP1","eU3729","eD3729"
"ETV2",1,"SPI1","eU3730","eD3730"
"STAT5A",1,"FOSL2","eU3731","eD3731"
"AHR",1,"YY1","eU3732","eD3732"
"NCOA1",1,"PAWR","eU3733","eD3733"
"KLF15",1,"NFATC1","eU3734","eD3734"
"SOX2",1,"NR5A2","eU3735","eD3735"
"PDX1",1,"NOTCH1","eU3736","eD3736"
"ETV2",1,"FLI1","eU3737","eD3737"
"EGR3",1,"NOTCH1","eU3738","eD3738"
"ESR2",1,"NOTCH1","eU3739","eD3739"
"STAT5A",1,"ABL1","eU3740","eD3740"
"GABPA",1,"AR","eU3741","eD3741"
"DNMT1",-1,"KLF4","eU3742","eD3742"
"DNMT3A",-1,"KLF4","eU3743","eD3743"
"EZH2",1,"TBX21","eU3744","eD3744"
"NR1I3",-1,"FOXO1","eU3745","eD3745"
"ZEB2",1,"ESR1","eU3746","eD3746"
"GATA3",1,"FOXA1","eU3747","eD3747"
"KDM5B",1,"FOXA1","eU3748","eD3748"
"AR",1,"CEBPD","eU3749","eD3749"
"CEBPD",1,"AR","eU3750","eD3750"
"NCOA2",1,"PPARA","eU3751","eD3751"
"NR3C1",1,"PPARG","eU3752","eD3752"
"PPARG",1,"NR3C1","eU3753","eD3753"
"PBX1",1,"PAX6","eU3754","eD3754"
"ZBTB16",1,"SP1","eU3755","eD3755"
"ZBTB16",1,"TP53","eU3756","eD3756"
"MYC",1,"CTBP2","eU3757","eD3757"
"FOXO1",1,"TWIST1","eU3758","eD3758"
"NFKB2",1,"HES1","eU3759","eD3759"
"RELB",1,"HES1","eU3760","eD3760"
"EZH2",-1,"NFE2L2","eU3761","eD3761"
"JUN",1,"CDX2","eU3762","eD3762"
"STAT3",1,"CDX2","eU3763","eD3763"
"ELF3",-1,"POU5F1","eU3764","eD3764"
"ETV4",1,"POU5F1","eU3765","eD3765"
"TAL1",-1,"ETV2","eU3766","eD3766"
"JUN",1,"JUND","eU3767","eD3767"
"NR4A3",1,"TBX1","eU3768","eD3768"
"HOXA10",1,"HOXB4","eU3769","eD3769"
"HOXA9",1,"HOXB4","eU3770","eD3770"
"ATF4",1,"STAT3","eU3771","eD3771"
"SMAD2",1,"FGF2","eU3772","eD3772"
"SMAD3",1,"FGF2","eU3773","eD3773"
"MYOG",1,"MYF6","eU3774","eD3774"
"MYF6",-1,"MYOG","eU3775","eD3775"
"MYC",1,"MYCN","eU3776","eD3776"
"MYCN",1,"MYC","eU3777","eD3777"
"E4F1",1,"TCF3","eU3778","eD3778"
"FOS",1,"MYB","eU3779","eD3779"
"DBP",1,"TCF3","eU3780","eD3780"
"USF1",1,"POU3F2","eU3781","eD3781"
"STAT1",1,"FOS","eU3782","eD3782"
"AHR",1,"PAX5","eU3783","eD3783"
"MYB",1,"EGR1","eU3784","eD3784"
"EGR1",-1,"MYB","eU3785","eD3785"
"ERF",-1,"ETS2","eU3786","eD3786"
"TCF12",1,"ID2","eU3787","eD3787"
"WT1",-1,"EGR1","eU3788","eD3788"
"SPI1",1,"SPIB","eU3789","eD3789"
"ENO1",1,"FOXN1","eU3790","eD3790"
"ABL1",1,"TP53","eU3791","eD3791"
"TP53",1,"ABL1","eU3792","eD3792"
"MSX1",-1,"MYOD1","eU3793","eD3793"
"SP1",1,"ABL1","eU3794","eD3794"
